pressure	g1_center	g1_centererr	g2_center	g2_centererr	g3_center	g3_centererr	g4_center	g4_centererr
055	206.1752597082593	76.19901420113858	364.0814713741064	48.37343939968664	519.5591453626932	57.450561198327144	1043.9299988782318	57.05938614786815
075	55.68444333293289	44.97197720927475	199.3947586518979	50.21597258675801	344.85698990380865	45.408076608187784	796.1621222402765	49.42679998249573
100	49.087532811262214	55.59326154433481	215.25675235173333	55.54516275716423	380.47652719048	53.62866867098658	896.3554297176028	55.86007416294104
125	none	none	none	none	200.87705204833708	51.68380522038836	658.4367139926487	49.6627800763241
150	none	none	none	none	232.47312256178293	55.24933473032435	750.5371894910738	56.20445753240567
175	none	none	none	none	80.81016490919296	51.067204505328746	531.9451374100557	47.775142039967484
200	none	none	none	none	86.89140712837201	60.01866179634891	612.2410949853326	54.041951272197196
225	none	none	none	none	none	none	413.96759239446436	46.659461039151104
250	none	none	none	none	none	none	464.1175338790731	53.15450898636741
275	none	none	none	none	none	none	298.38042149238873	46.01661424897652
300	none	none	none	none	none	none	332.85378298274014	52.87035706426373
325	none	none	none	none	none	none	190.0299608269951	45.518018955047545
350	none	none	none	none	none	none	203.80149820264987	53.07194754124336
375	none	none	none	none	none	none	80.90404113282929	44.10367619131688
400	none	none	none	none	none	none	76.19901129765742	49.39176712866093
