-20	    2	    0.0066	0.081
-15	    2	    0.192	0.394
-10	    2	    9.8	    3
-5	    2	    14.1	3.9
0	    2	    1.03	1
5	    2	    0.0228	0.1495
10	    2	    0.00312	0.05581
15	    2	    0.0001	    0.00001
