0000000041;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:25:16
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Total";"mass";10,00;50,00;1,00;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Total torr"
0000000001;00:00:01;0000001001;  10,00;  4,44619e-08
0000000001;00:00:01;0000001001;  11,00;  4,49886e-08
0000000001;00:00:01;0000001001;  12,00;  4,50316e-08
0000000001;00:00:01;0000001001;  13,00;  4,50639e-08
0000000001;00:00:01;0000001001;  14,00;  4,51606e-08
0000000001;00:00:01;0000001001;  15,00;  4,51176e-08
0000000001;00:00:01;0000001001;  16,00;  4,51821e-08
0000000001;00:00:01;0000001001;  17,00;  4,52681e-08
0000000001;00:00:01;0000001001;  18,00;  4,52466e-08
0000000001;00:00:01;0000001001;  19,00;  4,52681e-08
0000000001;00:00:01;0000001001;  20,00;  4,53004e-08
0000000001;00:00:01;0000001001;  21,00;  4,53111e-08
0000000001;00:00:01;0000001001;  22,00;  4,53004e-08
0000000001;00:00:01;0000001001;  23,00;  4,53541e-08
0000000001;00:00:01;0000001001;  24,00;  4,53649e-08
0000000001;00:00:01;0000001001;  25,00;  4,53434e-08
0000000001;00:00:01;0000001001;  26,00;  4,54294e-08
0000000001;00:00:01;0000001001;  27,00;  4,53864e-08
0000000001;00:00:01;0000001001;  28,00;  4,54186e-08
0000000001;00:00:01;0000001001;  29,00;  4,54509e-08
0000000001;00:00:01;0000001001;  30,00;  4,54079e-08
0000000001;00:00:01;0000001001;  31,00;  4,54939e-08
0000000001;00:00:01;0000001001;  32,00;  4,55369e-08
0000000001;00:00:01;0000001001;  33,00;  4,54724e-08
0000000001;00:00:01;0000001001;  34,00;  4,55584e-08
0000000001;00:00:01;0000001001;  35,00;  4,55476e-08
0000000001;00:00:01;0000001001;  36,00;  4,54939e-08
0000000001;00:00:01;0000001001;  37,00;  4,55691e-08
0000000001;00:00:01;0000001001;  38,00;  4,55691e-08
0000000001;00:00:01;0000001001;  39,00;  4,55906e-08
0000000001;00:00:01;0000001001;  40,00;  4,55476e-08
0000000001;00:00:01;0000001001;  41,00;  4,56014e-08
0000000001;00:00:01;0000001001;  42,00;  4,55261e-08
0000000001;00:00:01;0000001001;  43,00;  4,55584e-08
0000000001;00:00:01;0000001001;  44,00;  4,56336e-08
0000000001;00:00:01;0000001001;  45,00;  4,55584e-08
0000000001;00:00:01;0000001001;  46,00;  4,56336e-08
0000000001;00:00:01;0000001001;  47,00;  4,56551e-08
0000000001;00:00:01;0000001001;  48,00;  4,55691e-08
0000000001;00:00:01;0000001001;  49,00;  4,56551e-08
0000000001;00:00:01;0000001001;  50,00;  4,56551e-08
