0000000451;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:19:54
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Total";"mass";10,00;50,00;1,00;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Total torr"
0000000003;00:00:11;0000011792;  21,00;  8,14630e-08
0000000003;00:00:11;0000011792;  22,00;  8,14740e-08
0000000003;00:00:11;0000011792;  23,00;  8,15170e-08
0000000003;00:00:11;0000011792;  24,00;  8,15170e-08
0000000003;00:00:11;0000011792;  25,00;  8,15700e-08
0000000003;00:00:11;0000011792;  26,00;  8,14840e-08
0000000003;00:00:11;0000011792;  27,00;  8,15060e-08
0000000003;00:00:11;0000011792;  28,00;  8,15920e-08
0000000003;00:00:11;0000011792;  29,00;  8,15170e-08
0000000003;00:00:11;0000011792;  30,00;  8,15700e-08
0000000003;00:00:11;0000011792;  31,00;  8,16030e-08
0000000003;00:00:11;0000011792;  32,00;  8,15810e-08
0000000003;00:00:11;0000011792;  33,00;  8,16130e-08
0000000003;00:00:11;0000011792;  34,00;  8,16030e-08
0000000003;00:00:11;0000011792;  35,00;  8,16030e-08
0000000003;00:00:11;0000011792;  36,00;  8,15810e-08
0000000003;00:00:11;0000011792;  37,00;  8,16030e-08
0000000003;00:00:11;0000011792;  38,00;  8,16350e-08
0000000003;00:00:11;0000011792;  39,00;  8,16130e-08
0000000003;00:00:11;0000011792;  40,00;  8,16350e-08
0000000003;00:00:11;0000011792;  41,00;  8,15810e-08
0000000003;00:00:11;0000011792;  42,00;  8,15700e-08
0000000003;00:00:11;0000011792;  43,00;  8,16780e-08
0000000003;00:00:11;0000011792;  44,00;  8,16030e-08
0000000003;00:00:11;0000011792;  45,00;  8,16560e-08
0000000003;00:00:11;0000011792;  46,00;  8,16460e-08
0000000003;00:00:11;0000011792;  47,00;  8,16460e-08
0000000003;00:00:11;0000011792;  48,00;  8,16990e-08
0000000003;00:00:11;0000011792;  49,00;  8,16460e-08
0000000003;00:00:11;0000011792;  50,00;  8,16780e-08
0000000004;00:00:18;0000018676;  10,00;  8,05810e-08
0000000004;00:00:18;0000018676;  11,00;  8,12910e-08
0000000004;00:00:18;0000018676;  12,00;  8,14090e-08
0000000004;00:00:18;0000018676;  13,00;  8,14630e-08
0000000004;00:00:18;0000018676;  14,00;  8,15170e-08
0000000004;00:00:18;0000018676;  15,00;  8,16030e-08
0000000004;00:00:18;0000018676;  16,00;  8,15490e-08
0000000004;00:00:18;0000018676;  17,00;  8,16130e-08
0000000004;00:00:18;0000018676;  18,00;  8,15700e-08
0000000004;00:00:18;0000018676;  19,00;  8,15920e-08
0000000004;00:00:18;0000018676;  20,00;  8,16460e-08
0000000004;00:00:18;0000018676;  21,00;  8,16350e-08
0000000004;00:00:18;0000018676;  22,00;  8,16350e-08
0000000004;00:00:18;0000018676;  23,00;  8,16890e-08
0000000004;00:00:18;0000018676;  24,00;  8,16780e-08
0000000004;00:00:18;0000018676;  25,00;  8,16890e-08
0000000004;00:00:18;0000018676;  26,00;  8,16990e-08
0000000004;00:00:18;0000018676;  27,00;  8,16460e-08
0000000004;00:00:18;0000018676;  28,00;  8,16890e-08
0000000004;00:00:18;0000018676;  29,00;  8,16890e-08
0000000004;00:00:18;0000018676;  30,00;  8,17320e-08
0000000004;00:00:18;0000018676;  31,00;  8,16670e-08
0000000004;00:00:18;0000018676;  32,00;  8,17320e-08
0000000004;00:00:18;0000018676;  33,00;  8,16460e-08
0000000004;00:00:18;0000018676;  34,00;  8,16780e-08
0000000004;00:00:18;0000018676;  35,00;  8,17420e-08
0000000004;00:00:18;0000018676;  36,00;  8,16780e-08
0000000004;00:00:18;0000018676;  37,00;  8,17420e-08
0000000004;00:00:18;0000018676;  38,00;  8,17750e-08
0000000004;00:00:18;0000018676;  39,00;  8,16890e-08
0000000004;00:00:18;0000018676;  40,00;  8,17530e-08
0000000004;00:00:18;0000018676;  41,00;  8,17530e-08
0000000004;00:00:18;0000018676;  42,00;  8,17320e-08
0000000004;00:00:18;0000018676;  43,00;  8,17530e-08
0000000004;00:00:18;0000018676;  44,00;  8,16990e-08
0000000004;00:00:18;0000018676;  45,00;  8,17530e-08
0000000004;00:00:18;0000018676;  46,00;  8,16670e-08
0000000004;00:00:18;0000018676;  47,00;  8,17210e-08
0000000004;00:00:18;0000018676;  48,00;  8,16990e-08
0000000004;00:00:18;0000018676;  49,00;  8,17210e-08
0000000004;00:00:18;0000018676;  50,00;  8,17750e-08
0000000005;00:00:25;0000025560;  10,00;  8,06890e-08
0000000005;00:00:25;0000025560;  11,00;  8,14090e-08
0000000005;00:00:25;0000025560;  12,00;  8,15810e-08
0000000005;00:00:25;0000025560;  13,00;  8,16240e-08
0000000005;00:00:25;0000025560;  14,00;  8,16240e-08
0000000005;00:00:25;0000025560;  15,00;  8,16780e-08
0000000005;00:00:25;0000025560;  16,00;  8,16890e-08
0000000005;00:00:25;0000025560;  17,00;  8,17100e-08
0000000005;00:00:25;0000025560;  18,00;  8,16670e-08
0000000005;00:00:25;0000025560;  19,00;  8,16670e-08
0000000005;00:00:25;0000025560;  20,00;  8,16780e-08
0000000005;00:00:25;0000025560;  21,00;  8,17100e-08
0000000005;00:00:25;0000025560;  22,00;  8,17530e-08
0000000005;00:00:25;0000025560;  23,00;  8,16560e-08
0000000005;00:00:25;0000025560;  24,00;  8,17210e-08
0000000005;00:00:25;0000025560;  25,00;  8,17210e-08
0000000005;00:00:25;0000025560;  26,00;  8,16990e-08
0000000005;00:00:25;0000025560;  27,00;  8,17850e-08
0000000005;00:00:25;0000025560;  28,00;  8,17320e-08
0000000005;00:00:25;0000025560;  29,00;  8,17640e-08
0000000005;00:00:25;0000025560;  30,00;  8,17850e-08
0000000005;00:00:25;0000025560;  31,00;  8,17210e-08
0000000005;00:00:25;0000025560;  32,00;  8,17750e-08
0000000005;00:00:25;0000025560;  33,00;  8,17530e-08
0000000005;00:00:25;0000025560;  34,00;  8,17530e-08
0000000005;00:00:25;0000025560;  35,00;  8,17960e-08
0000000005;00:00:25;0000025560;  36,00;  8,17750e-08
0000000005;00:00:25;0000025560;  37,00;  8,17850e-08
0000000005;00:00:25;0000025560;  38,00;  8,16990e-08
0000000005;00:00:25;0000025560;  39,00;  8,17640e-08
0000000005;00:00:25;0000025560;  40,00;  8,17530e-08
0000000005;00:00:25;0000025560;  41,00;  8,17320e-08
0000000005;00:00:25;0000025560;  42,00;  8,17850e-08
0000000005;00:00:25;0000025560;  43,00;  8,17640e-08
0000000005;00:00:25;0000025560;  44,00;  8,17640e-08
0000000005;00:00:25;0000025560;  45,00;  8,18180e-08
0000000005;00:00:25;0000025560;  46,00;  8,17750e-08
0000000005;00:00:25;0000025560;  47,00;  8,17640e-08
0000000005;00:00:25;0000025560;  48,00;  8,17750e-08
0000000005;00:00:25;0000025560;  49,00;  8,17420e-08
0000000005;00:00:25;0000025560;  50,00;  8,17960e-08
0000000006;00:00:32;0000032445;  10,00;  8,06570e-08
0000000006;00:00:32;0000032445;  11,00;  8,14740e-08
0000000006;00:00:32;0000032445;  12,00;  8,15700e-08
0000000006;00:00:32;0000032445;  13,00;  8,16030e-08
0000000006;00:00:32;0000032445;  14,00;  8,17100e-08
0000000006;00:00:32;0000032445;  15,00;  8,16560e-08
0000000006;00:00:32;0000032445;  16,00;  8,16780e-08
0000000006;00:00:32;0000032445;  17,00;  8,17420e-08
0000000006;00:00:32;0000032445;  18,00;  8,16990e-08
0000000006;00:00:32;0000032445;  19,00;  8,17210e-08
0000000006;00:00:32;0000032445;  20,00;  8,17530e-08
0000000006;00:00:32;0000032445;  21,00;  8,17210e-08
0000000006;00:00:32;0000032445;  22,00;  8,17960e-08
