0000000533;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:19:13
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Total";"mass";10,00;50,00;1,00;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Total torr"
0000000001;00:00:01;0000001001;  10,00;  1,08642e-07
0000000001;00:00:01;0000001001;  11,00;  1,09246e-07
0000000001;00:00:01;0000001001;  12,00;  1,09246e-07
0000000001;00:00:01;0000001001;  13,00;  1,09112e-07
0000000001;00:00:01;0000001001;  14,00;  1,09045e-07
0000000001;00:00:01;0000001001;  15,00;  1,08776e-07
0000000001;00:00:01;0000001001;  16,00;  1,09112e-07
0000000001;00:00:01;0000001001;  17,00;  1,09246e-07
0000000001;00:00:01;0000001001;  18,00;  1,08574e-07
0000000001;00:00:01;0000001001;  19,00;  1,08843e-07
0000000001;00:00:01;0000001001;  20,00;  1,09583e-07
0000000001;00:00:01;0000001001;  21,00;  1,09314e-07
0000000001;00:00:01;0000001001;  22,00;  1,09045e-07
0000000001;00:00:01;0000001001;  23,00;  1,08977e-07
0000000001;00:00:01;0000001001;  24,00;  1,09045e-07
0000000001;00:00:01;0000001001;  25,00;  1,08977e-07
0000000001;00:00:01;0000001001;  26,00;  1,09112e-07
0000000001;00:00:01;0000001001;  27,00;  1,09112e-07
0000000001;00:00:01;0000001001;  28,00;  1,09246e-07
0000000001;00:00:01;0000001001;  29,00;  1,08776e-07
0000000001;00:00:01;0000001001;  30,00;  1,08977e-07
0000000001;00:00:01;0000001001;  31,00;  1,09515e-07
0000000001;00:00:01;0000001001;  32,00;  1,09180e-07
0000000001;00:00:01;0000001001;  33,00;  1,09381e-07
0000000001;00:00:01;0000001001;  34,00;  1,08911e-07
0000000001;00:00:01;0000001001;  35,00;  1,09583e-07
0000000001;00:00:01;0000001001;  36,00;  1,09515e-07
0000000001;00:00:01;0000001001;  37,00;  1,09112e-07
0000000001;00:00:01;0000001001;  38,00;  1,08709e-07
0000000001;00:00:01;0000001001;  39,00;  1,09515e-07
0000000001;00:00:01;0000001001;  40,00;  1,09180e-07
0000000001;00:00:01;0000001001;  41,00;  1,08977e-07
0000000001;00:00:01;0000001001;  42,00;  1,09381e-07
0000000001;00:00:01;0000001001;  43,00;  1,08911e-07
0000000001;00:00:01;0000001001;  44,00;  1,09381e-07
0000000001;00:00:01;0000001001;  45,00;  1,09246e-07
0000000001;00:00:01;0000001001;  46,00;  1,09314e-07
0000000001;00:00:01;0000001001;  47,00;  1,09515e-07
0000000001;00:00:01;0000001001;  48,00;  1,09515e-07
0000000001;00:00:01;0000001001;  49,00;  1,09583e-07
0000000001;00:00:01;0000001001;  50,00;  1,09851e-07
0000000002;00:00:01;0000001906;  10,00;  1,09649e-07
0000000002;00:00:01;0000001906;  11,00;  1,09381e-07
0000000002;00:00:01;0000001906;  12,00;  1,09314e-07
0000000002;00:00:01;0000001906;  13,00;  1,09583e-07
0000000002;00:00:01;0000001906;  14,00;  1,09381e-07
0000000002;00:00:01;0000001906;  15,00;  1,09717e-07
0000000002;00:00:01;0000001906;  16,00;  1,09583e-07
0000000002;00:00:01;0000001906;  17,00;  1,09448e-07
0000000002;00:00:01;0000001906;  18,00;  1,09448e-07
0000000002;00:00:01;0000001906;  19,00;  1,09583e-07
0000000002;00:00:01;0000001906;  20,00;  1,09784e-07
0000000002;00:00:01;0000001906;  21,00;  1,09717e-07
0000000002;00:00:01;0000001906;  22,00;  1,10187e-07
0000000002;00:00:01;0000001906;  23,00;  1,09851e-07
0000000002;00:00:01;0000001906;  24,00;  1,09986e-07
0000000002;00:00:01;0000001906;  25,00;  1,09851e-07
0000000002;00:00:01;0000001906;  26,00;  1,09717e-07
0000000002;00:00:01;0000001906;  27,00;  1,10120e-07
0000000002;00:00:01;0000001906;  28,00;  1,09784e-07
0000000002;00:00:01;0000001906;  29,00;  1,09784e-07
0000000002;00:00:01;0000001906;  30,00;  1,09649e-07
0000000002;00:00:01;0000001906;  31,00;  1,10052e-07
0000000002;00:00:01;0000001906;  32,00;  1,10321e-07
0000000002;00:00:01;0000001906;  33,00;  1,09583e-07
0000000002;00:00:01;0000001906;  34,00;  1,10052e-07
0000000002;00:00:01;0000001906;  35,00;  1,10255e-07
0000000002;00:00:01;0000001906;  36,00;  1,09918e-07
0000000002;00:00:01;0000001906;  37,00;  1,09986e-07
0000000002;00:00:01;0000001906;  38,00;  1,10120e-07
0000000002;00:00:01;0000001906;  39,00;  1,10255e-07
0000000002;00:00:01;0000001906;  40,00;  1,10120e-07
0000000002;00:00:01;0000001906;  41,00;  1,10120e-07
0000000002;00:00:01;0000001906;  42,00;  1,10120e-07
0000000002;00:00:01;0000001906;  43,00;  1,10590e-07
0000000002;00:00:01;0000001906;  44,00;  1,09986e-07
0000000002;00:00:01;0000001906;  45,00;  1,10255e-07
0000000002;00:00:01;0000001906;  46,00;  1,10052e-07
0000000002;00:00:01;0000001906;  47,00;  1,10456e-07
0000000002;00:00:01;0000001906;  48,00;  1,10052e-07
0000000002;00:00:01;0000001906;  49,00;  1,10187e-07
0000000002;00:00:01;0000001906;  50,00;  1,10052e-07
0000000003;00:00:02;0000002812;  10,00;  1,09717e-07
0000000003;00:00:02;0000002812;  11,00;  1,10120e-07
0000000003;00:00:02;0000002812;  12,00;  1,09918e-07
0000000003;00:00:02;0000002812;  13,00;  1,09918e-07
0000000003;00:00:02;0000002812;  14,00;  1,10255e-07
0000000003;00:00:02;0000002812;  15,00;  1,10255e-07
0000000003;00:00:02;0000002812;  16,00;  1,10187e-07
0000000003;00:00:02;0000002812;  17,00;  1,09784e-07
0000000003;00:00:02;0000002812;  18,00;  1,09784e-07
0000000003;00:00:02;0000002812;  19,00;  1,10120e-07
0000000003;00:00:02;0000002812;  20,00;  1,10321e-07
0000000003;00:00:02;0000002812;  21,00;  1,09986e-07
0000000003;00:00:02;0000002812;  22,00;  1,10255e-07
0000000003;00:00:02;0000002812;  23,00;  1,10456e-07
0000000003;00:00:02;0000002812;  24,00;  1,10993e-07
0000000003;00:00:02;0000002812;  25,00;  1,10321e-07
0000000003;00:00:02;0000002812;  26,00;  1,10724e-07
0000000003;00:00:02;0000002812;  27,00;  1,10321e-07
0000000003;00:00:02;0000002812;  28,00;  1,09918e-07
0000000003;00:00:02;0000002812;  29,00;  1,10120e-07
0000000003;00:00:02;0000002812;  30,00;  1,10658e-07
0000000003;00:00:02;0000002812;  31,00;  1,10658e-07
0000000003;00:00:02;0000002812;  32,00;  1,10456e-07
0000000003;00:00:02;0000002812;  33,00;  1,10859e-07
0000000003;00:00:02;0000002812;  34,00;  1,10859e-07
0000000003;00:00:02;0000002812;  35,00;  1,10658e-07
0000000003;00:00:02;0000002812;  36,00;  1,10792e-07
0000000003;00:00:02;0000002812;  37,00;  1,09717e-07
0000000003;00:00:02;0000002812;  38,00;  1,10255e-07
0000000003;00:00:02;0000002812;  39,00;  1,10993e-07
0000000003;00:00:02;0000002812;  40,00;  1,10523e-07
0000000003;00:00:02;0000002812;  41,00;  1,10724e-07
0000000003;00:00:02;0000002812;  42,00;  1,10724e-07
0000000003;00:00:02;0000002812;  43,00;  1,11061e-07
0000000003;00:00:02;0000002812;  44,00;  1,10389e-07
0000000003;00:00:02;0000002812;  45,00;  1,10658e-07
0000000003;00:00:02;0000002812;  46,00;  1,10120e-07
0000000003;00:00:02;0000002812;  47,00;  1,10523e-07
0000000003;00:00:02;0000002812;  48,00;  1,10456e-07
0000000003;00:00:02;0000002812;  49,00;  1,10792e-07
0000000003;00:00:02;0000002812;  50,00;  1,10321e-07
0000000004;00:00:03;0000003718;  10,00;  1,10388e-07
0000000004;00:00:03;0000003718;  11,00;  1,10253e-07
0000000004;00:00:03;0000003718;  12,00;  1,10590e-07
0000000004;00:00:03;0000003718;  13,00;  1,10657e-07
0000000004;00:00:03;0000003718;  14,00;  1,10388e-07
0000000004;00:00:03;0000003718;  15,00;  1,10657e-07
0000000004;00:00:03;0000003718;  16,00;  1,10859e-07
0000000004;00:00:03;0000003718;  17,00;  1,10253e-07
0000000004;00:00:03;0000003718;  18,00;  1,10859e-07
0000000004;00:00:03;0000003718;  19,00;  1,10522e-07
0000000004;00:00:03;0000003718;  20,00;  1,10724e-07
0000000004;00:00:03;0000003718;  21,00;  1,10388e-07
0000000004;00:00:03;0000003718;  22,00;  1,10657e-07
0000000004;00:00:03;0000003718;  23,00;  1,10388e-07
0000000004;00:00:03;0000003718;  24,00;  1,10925e-07
0000000004;00:00:03;0000003718;  25,00;  1,10321e-07
0000000004;00:00:03;0000003718;  26,00;  1,10859e-07
0000000004;00:00:03;0000003718;  27,00;  1,10993e-07
0000000004;00:00:03;0000003718;  28,00;  1,10657e-07
0000000004;00:00:03;0000003718;  29,00;  1,10657e-07
0000000004;00:00:03;0000003718;  30,00;  1,10522e-07
0000000004;00:00:03;0000003718;  31,00;  1,11328e-07
0000000004;00:00:03;0000003718;  32,00;  1,10993e-07
0000000004;00:00:03;0000003718;  33,00;  1,10590e-07
0000000004;00:00:03;0000003718;  34,00;  1,11060e-07
0000000004;00:00:03;0000003718;  35,00;  1,10859e-07
0000000004;00:00:03;0000003718;  36,00;  1,10724e-07
0000000004;00:00:03;0000003718;  37,00;  1,10925e-07
0000000004;00:00:03;0000003718;  38,00;  1,11328e-07
0000000004;00:00:03;0000003718;  39,00;  1,10993e-07
0000000004;00:00:03;0000003718;  40,00;  1,10724e-07
0000000004;00:00:03;0000003718;  41,00;  1,10590e-07
0000000004;00:00:03;0000003718;  42,00;  1,10724e-07
0000000004;00:00:03;0000003718;  43,00;  1,10993e-07
0000000004;00:00:03;0000003718;  44,00;  1,10724e-07
0000000004;00:00:03;0000003718;  45,00;  1,10724e-07
0000000004;00:00:03;0000003718;  46,00;  1,11262e-07
0000000004;00:00:03;0000003718;  47,00;  1,11194e-07
0000000004;00:00:03;0000003718;  48,00;  1,10925e-07
0000000004;00:00:03;0000003718;  49,00;  1,11194e-07
0000000004;00:00:03;0000003718;  50,00;  1,11396e-07
0000000005;00:00:04;0000004623;  10,00;  1,09986e-07
