2.6854707504690433e-07  1.3427353752345217e-08  7.50062e-06 2.250186e-06
2.2762053547671843e-07  1.1381026773835923e-08  6.4505332000000005e-06  1.93515996e-06
1.8771477044476329e-07  9.385738522238165e-09   5.5504588e-06   1.66513764e-06
1.549130286944046e-07   7.74565143472023e-09    4.7253906e-06   1.41761718e-06
1.3321933208255158e-07  6.660966604127579e-09   4.0503348e-06   1.21510044e-06
1.1091749530956848e-07  5.545874765478424e-09   3.4502852e-06   1.03508556e-06
8.160305099778271e-08   4.080152549889136e-09   3.0002479999999997e-06  9.000743999999999e-07
6.628857723577236e-08   3.314428861788618e-09   2.5502108e-06   7.650632399999999e-07
5.6567948780487806e-08  2.8283974390243906e-09  2.250186e-06    6.750558e-07
4.539712195121951e-08   2.2698560975609755e-09  1.875155e-06    5.625465e-07
