0000000401;scans;0000000053;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";16:26:36
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"electron-energy";10,0;50,0;0,1;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";60,000;"uA"
"focus";-90;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"electron-energy V";"Faraday torr"
0000000001;00:00:01;0000001002;  19,3; -2,66599e-12
0000000001;00:00:01;0000001002;  19,4;  1,13197e-11
0000000001;00:00:01;0000001002;  19,5; -1,69849e-12
0000000001;00:00:01;0000001002;  19,6;  2,23062e-11
0000000001;00:00:01;0000001002;  19,7;  1,60389e-11
0000000001;00:00:01;0000001002;  19,8;  5,12881e-11
0000000001;00:00:01;0000001002;  19,9;  1,12229e-11
0000000001;00:00:01;0000001002;  20,0;  1,79524e-12
0000000001;00:00:01;0000001002;  20,1;  1,95004e-11
0000000001;00:00:01;0000001002;  20,2;  3,87859e-11
0000000001;00:00:01;0000001002;  20,3;  5,34274e-12
0000000001;00:00:01;0000001002;  20,4;  3,61951e-11
0000000001;00:00:01;0000001002;  20,5;  3,18629e-11
0000000001;00:00:01;0000001002;  20,6;  2,94979e-11
0000000001;00:00:01;0000001002;  20,7;  4,57196e-11
0000000001;00:00:01;0000001002;  20,8;  4,20754e-11
0000000001;00:00:01;0000001002;  20,9;  8,77190e-12
0000000001;00:00:01;0000001002;  21,0;  5,75876e-11
0000000001;00:00:01;0000001002;  21,1;  3,88719e-11
0000000001;00:00:01;0000001002;  21,2;  4,36234e-11
0000000001;00:00:01;0000001002;  21,3;  3,91729e-11
0000000001;00:00:01;0000001002;  21,4;  3,87751e-11
0000000001;00:00:01;0000001002;  21,5;  4,31181e-11
0000000001;00:00:01;0000001002;  21,6;  2,62084e-11
0000000001;00:00:01;0000001002;  21,7;  3,99469e-11
0000000001;00:00:01;0000001002;  21,8;  4,64506e-11
0000000001;00:00:01;0000001002;  21,9;  1,73827e-11
0000000001;00:00:01;0000001002;  22,0;  6,21560e-11
0000000001;00:00:01;0000001002;  22,1;  4,33869e-11
0000000001;00:00:01;0000001002;  22,2;  4,66011e-11
0000000001;00:00:01;0000001002;  22,3;  6,01350e-11
0000000001;00:00:01;0000001002;  22,4;  4,93531e-11
0000000001;00:00:01;0000001002;  22,5;  5,72651e-11
0000000001;00:00:01;0000001002;  22,6;  5,01701e-11
0000000001;00:00:01;0000001002;  22,7;  5,07506e-11
0000000001;00:00:01;0000001002;  22,8;  8,76440e-11
0000000001;00:00:01;0000001002;  22,9;  3,62381e-11
0000000001;00:00:01;0000001002;  23,0;  3,86999e-11
0000000001;00:00:01;0000001002;  23,1;  7,71840e-11
0000000001;00:00:01;0000001002;  23,2;  5,64696e-11
0000000001;00:00:01;0000001002;  23,3;  4,44296e-11
0000000001;00:00:01;0000001002;  23,4;  7,23250e-11
0000000001;00:00:01;0000001002;  23,5;  4,83964e-11
0000000001;00:00:01;0000001002;  23,6;  9,85120e-11
0000000001;00:00:01;0000001002;  23,7;  6,15750e-11
0000000001;00:00:01;0000001002;  23,8;  7,70980e-11
0000000001;00:00:01;0000001002;  23,9;  9,66850e-11
0000000001;00:00:01;0000001002;  24,0;  6,91860e-11
0000000001;00:00:01;0000001002;  24,1;  8,75260e-11
0000000001;00:00:01;0000001002;  24,2;  8,95680e-11
0000000001;00:00:01;0000001002;  24,3;  8,77620e-11
0000000001;00:00:01;0000001002;  24,4;  9,32130e-11
0000000001;00:00:01;0000001002;  24,5;  8,45270e-11
0000000001;00:00:01;0000001002;  24,6;  6,85630e-11
0000000001;00:00:01;0000001002;  24,7;  8,46130e-11
0000000001;00:00:01;0000001002;  24,8;  9,29440e-11
0000000001;00:00:01;0000001002;  24,9;  7,12720e-11
0000000001;00:00:01;0000001002;  25,0;  1,00920e-10
0000000001;00:00:01;0000001002;  25,1;  9,32880e-11
0000000001;00:00:01;0000001002;  25,2;  9,91250e-11
0000000001;00:00:01;0000001002;  25,3;  1,05253e-10
0000000001;00:00:01;0000001002;  25,4;  9,86840e-11
0000000001;00:00:01;0000001002;  25,5;  1,09757e-10
0000000001;00:00:01;0000001002;  25,6;  9,59320e-11
0000000001;00:00:01;0000001002;  25,7;  1,06295e-10
0000000001;00:00:01;0000001002;  25,8;  8,03230e-11
0000000001;00:00:01;0000001002;  25,9;  8,33120e-11
0000000001;00:00:01;0000001002;  26,0;  1,10810e-10
0000000001;00:00:01;0000001002;  26,1;  9,26210e-11
0000000001;00:00:01;0000001002;  26,2;  9,29220e-11
0000000001;00:00:01;0000001002;  26,3;  1,03554e-10
0000000001;00:00:01;0000001002;  26,4;  1,26989e-10
0000000001;00:00:01;0000001002;  26,5;  9,58790e-11
0000000001;00:00:01;0000001002;  26,6;  1,07435e-10
0000000001;00:00:01;0000001002;  26,7;  1,11638e-10
0000000001;00:00:01;0000001002;  26,8;  9,92540e-11
0000000001;00:00:01;0000001002;  26,9;  1,00802e-10
0000000001;00:00:01;0000001002;  27,0;  1,31386e-10
0000000001;00:00:01;0000001002;  27,1;  1,17916e-10
0000000001;00:00:01;0000001002;  27,2;  9,40830e-11
0000000001;00:00:01;0000001002;  27,3;  1,26344e-10
0000000001;00:00:01;0000001002;  27,4;  1,20389e-10
0000000001;00:00:01;0000001002;  27,5;  1,26333e-10
0000000001;00:00:01;0000001002;  27,6;  1,16185e-10
0000000001;00:00:01;0000001002;  27,7;  1,05769e-10
0000000001;00:00:01;0000001002;  27,8;  1,03103e-10
0000000001;00:00:01;0000001002;  27,9;  1,21023e-10
0000000001;00:00:01;0000001002;  28,0;  1,12423e-10
0000000001;00:00:01;0000001002;  28,1;  1,11380e-10
0000000001;00:00:01;0000001002;  28,2;  1,19142e-10
0000000001;00:00:01;0000001002;  28,3;  1,31085e-10
0000000001;00:00:01;0000001002;  28,4;  1,03038e-10
0000000001;00:00:01;0000001002;  28,5;  1,04801e-10
0000000001;00:00:01;0000001002;  28,6;  1,36438e-10
0000000001;00:00:01;0000001002;  28,7;  1,35589e-10
0000000001;00:00:01;0000001002;  28,8;  1,27473e-10
0000000001;00:00:01;0000001002;  28,9;  1,40394e-10
0000000001;00:00:01;0000001002;  29,0;  1,13713e-10
0000000001;00:00:01;0000001002;  29,1;  1,26398e-10
0000000001;00:00:01;0000001002;  29,2;  1,32278e-10
0000000001;00:00:01;0000001002;  29,3;  1,40738e-10
0000000001;00:00:01;0000001002;  29,4;  1,38051e-10
0000000001;00:00:01;0000001002;  29,5;  1,35901e-10
0000000001;00:00:01;0000001002;  29,6;  1,50951e-10
0000000001;00:00:01;0000001002;  29,7;  1,31655e-10
0000000001;00:00:01;0000001002;  29,8;  1,33138e-10
0000000001;00:00:01;0000001002;  29,9;  1,54703e-10
0000000001;00:00:01;0000001002;  30,0;  1,37470e-10
0000000001;00:00:01;0000001002;  30,1;  1,45619e-10
0000000001;00:00:01;0000001002;  30,2;  1,61249e-10
0000000001;00:00:01;0000001002;  30,3;  1,42426e-10
0000000001;00:00:01;0000001002;  30,4;  1,66194e-10
0000000001;00:00:01;0000001002;  30,5;  1,51875e-10
0000000001;00:00:01;0000001002;  30,6;  1,49263e-10
0000000001;00:00:01;0000001002;  30,7;  1,70193e-10
0000000001;00:00:01;0000001002;  30,8;  1,58702e-10
0000000001;00:00:01;0000001002;  30,9;  1,61131e-10
0000000001;00:00:01;0000001002;  31,0;  1,74622e-10
0000000001;00:00:01;0000001002;  31,1;  1,68151e-10
0000000001;00:00:01;0000001002;  31,2;  1,86651e-10
0000000001;00:00:01;0000001002;  31,3;  1,61056e-10
0000000001;00:00:01;0000001002;  31,4;  1,61572e-10
0000000001;00:00:01;0000001002;  31,5;  1,90124e-10
0000000001;00:00:01;0000001002;  31,6;  1,65904e-10
0000000001;00:00:01;0000001002;  31,7;  1,81276e-10
0000000001;00:00:01;0000001002;  31,8;  1,91854e-10
0000000001;00:00:01;0000001002;  31,9;  1,83781e-10
0000000001;00:00:01;0000001002;  32,0;  1,88715e-10
0000000001;00:00:01;0000001002;  32,1;  2,11796e-10
0000000001;00:00:01;0000001002;  32,2;  2,04507e-10
0000000001;00:00:01;0000001002;  32,3;  1,78524e-10
0000000001;00:00:01;0000001002;  32,4;  2,03228e-10
0000000001;00:00:01;0000001002;  32,5;  1,83555e-10
0000000001;00:00:01;0000001002;  32,6;  1,88124e-10
0000000001;00:00:01;0000001002;  32,7;  1,80857e-10
0000000001;00:00:01;0000001002;  32,8;  2,03443e-10
0000000001;00:00:01;0000001002;  32,9;  2,10463e-10
0000000001;00:00:01;0000001002;  33,0;  2,15956e-10
0000000001;00:00:01;0000001002;  33,1;  2,04432e-10
0000000001;00:00:01;0000001002;  33,2;  2,10903e-10
0000000001;00:00:01;0000001002;  33,3;  2,24556e-10
0000000001;00:00:01;0000001002;  33,4;  1,96993e-10
0000000001;00:00:01;0000001002;  33,5;  2,25975e-10
0000000001;00:00:01;0000001002;  33,6;  2,37961e-10
0000000001;00:00:01;0000001002;  33,7;  2,49808e-10
0000000001;00:00:01;0000001002;  33,8;  1,98605e-10
0000000001;00:00:01;0000001002;  33,9;  2,54505e-10
0000000001;00:00:01;0000001002;  34,0;  2,34220e-10
0000000001;00:00:01;0000001002;  34,1;  2,30157e-10
0000000001;00:00:01;0000001002;  34,2;  2,44938e-10
0000000001;00:00:01;0000001002;  34,3;  2,31812e-10
