-25 2	0.01	0.0997
-20 2	0.00333	0.05774
-15 2	0.043	0.204
-10 2	0.1	    0.322
-5  2	0.52	0.69
0   2	5.3	    2.3
5   2	20.2	4.3
10  2	13.7	3.3
15  2	2.19	1.47
20  2	0.230	0.488
25  2	0.0422	0.217
30  2	0.02	0.1402
