0000000123;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:29:12
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Total";"mass";10,00;50,00;1,00;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Total torr"
0000000001;00:00:01;0000001001;  10,00;  1,66194e-08
0000000001;00:00:01;0000001001;  11,00;  1,67914e-08
0000000001;00:00:01;0000001001;  12,00;  1,67807e-08
0000000001;00:00:01;0000001001;  13,00;  1,67484e-08
0000000001;00:00:01;0000001001;  14,00;  1,67914e-08
0000000001;00:00:01;0000001001;  15,00;  1,67592e-08
0000000001;00:00:01;0000001001;  16,00;  1,67807e-08
0000000001;00:00:01;0000001001;  17,00;  1,67054e-08
0000000001;00:00:01;0000001001;  18,00;  1,67269e-08
0000000001;00:00:01;0000001001;  19,00;  1,66839e-08
0000000001;00:00:01;0000001001;  20,00;  1,66947e-08
0000000001;00:00:01;0000001001;  21,00;  1,67269e-08
0000000001;00:00:01;0000001001;  22,00;  1,66409e-08
0000000001;00:00:01;0000001001;  23,00;  1,66839e-08
0000000001;00:00:01;0000001001;  24,00;  1,66839e-08
0000000001;00:00:01;0000001001;  25,00;  1,66194e-08
0000000001;00:00:01;0000001001;  26,00;  1,66732e-08
0000000001;00:00:01;0000001001;  27,00;  1,66409e-08
0000000001;00:00:01;0000001001;  28,00;  1,66087e-08
0000000001;00:00:01;0000001001;  29,00;  1,66839e-08
0000000001;00:00:01;0000001001;  30,00;  1,66517e-08
0000000001;00:00:01;0000001001;  31,00;  1,66517e-08
0000000001;00:00:01;0000001001;  32,00;  1,66087e-08
0000000001;00:00:01;0000001001;  33,00;  1,66087e-08
0000000001;00:00:01;0000001001;  34,00;  1,65657e-08
0000000001;00:00:01;0000001001;  35,00;  1,65979e-08
0000000001;00:00:01;0000001001;  36,00;  1,66194e-08
0000000001;00:00:01;0000001001;  37,00;  1,65334e-08
