0000000902;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:14:57
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Total";"mass";10,00;50,00;1,00;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Total torr"
0000000003;00:00:02;0000002813;  21,00;  2,25950e-07
0000000003;00:00:02;0000002813;  22,00;  2,26287e-07
0000000003;00:00:02;0000002813;  23,00;  2,25884e-07
0000000003;00:00:02;0000002813;  24,00;  2,25681e-07
0000000003;00:00:02;0000002813;  25,00;  2,26018e-07
0000000003;00:00:02;0000002813;  26,00;  2,26085e-07
0000000003;00:00:02;0000002813;  27,00;  2,26085e-07
0000000003;00:00:02;0000002813;  28,00;  2,26555e-07
0000000003;00:00:02;0000002813;  29,00;  2,26622e-07
0000000003;00:00:02;0000002813;  30,00;  2,25816e-07
0000000003;00:00:02;0000002813;  31,00;  2,26488e-07
0000000003;00:00:02;0000002813;  32,00;  2,26421e-07
0000000003;00:00:02;0000002813;  33,00;  2,26421e-07
0000000003;00:00:02;0000002813;  34,00;  2,25884e-07
0000000003;00:00:02;0000002813;  35,00;  2,26085e-07
0000000003;00:00:02;0000002813;  36,00;  2,26287e-07
0000000003;00:00:02;0000002813;  37,00;  2,26353e-07
0000000003;00:00:02;0000002813;  38,00;  2,26555e-07
0000000003;00:00:02;0000002813;  39,00;  2,26287e-07
0000000003;00:00:02;0000002813;  40,00;  2,26690e-07
0000000003;00:00:02;0000002813;  41,00;  2,26421e-07
0000000003;00:00:02;0000002813;  42,00;  2,26085e-07
0000000003;00:00:02;0000002813;  43,00;  2,26555e-07
0000000003;00:00:02;0000002813;  44,00;  2,26421e-07
0000000003;00:00:02;0000002813;  45,00;  2,26891e-07
0000000003;00:00:02;0000002813;  46,00;  2,26488e-07
0000000003;00:00:02;0000002813;  47,00;  2,26891e-07
0000000003;00:00:02;0000002813;  48,00;  2,26421e-07
0000000003;00:00:02;0000002813;  49,00;  2,27160e-07
0000000003;00:00:02;0000002813;  50,00;  2,27025e-07
0000000004;00:00:03;0000003719;  10,00;  2,26287e-07
0000000004;00:00:03;0000003719;  11,00;  2,26623e-07
0000000004;00:00:03;0000003719;  12,00;  2,26690e-07
0000000004;00:00:03;0000003719;  13,00;  2,26824e-07
0000000004;00:00:03;0000003719;  14,00;  2,26758e-07
0000000004;00:00:03;0000003719;  15,00;  2,26152e-07
0000000004;00:00:03;0000003719;  16,00;  2,26959e-07
0000000004;00:00:03;0000003719;  17,00;  2,26152e-07
0000000004;00:00:03;0000003719;  18,00;  2,26758e-07
0000000004;00:00:03;0000003719;  19,00;  2,26690e-07
0000000004;00:00:03;0000003719;  20,00;  2,26758e-07
0000000004;00:00:03;0000003719;  21,00;  2,26220e-07
0000000004;00:00:03;0000003719;  22,00;  2,26690e-07
