0000000401;scans;0000000053;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:35:14
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"electron-energy";10,0;50,0;0,1;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";60,000;"uA"
"focus";-90;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"electron-energy V";"Faraday torr"
0000000001;00:00:01;0000001001;  19,3;  2,30479e-11
0000000001;00:00:01;0000001001;  19,4;  3,32174e-12
0000000001;00:00:01;0000001001;  19,5; -1,33407e-11
0000000001;00:00:01;0000001001;  19,6; -6,35324e-12
0000000001;00:00:01;0000001001;  19,7; -1,79417e-11
0000000001;00:00:01;0000001001;  19,8; -6,87998e-13
0000000001;00:00:01;0000001001;  19,9;  2,50474e-12
0000000001;00:00:01;0000001001;  20,0; -1,04489e-11
0000000001;00:00:01;0000001001;  20,1;  2,12849e-12
0000000001;00:00:01;0000001001;  20,2;  7,61090e-12
0000000001;00:00:01;0000001001;  20,3; -3,70874e-12
0000000001;00:00:01;0000001001;  20,4; -2,26717e-11
0000000001;00:00:01;0000001001;  20,5; -1,37599e-11
0000000001;00:00:01;0000001001;  20,6; -1,19109e-11
0000000001;00:00:01;0000001001;  20,7;  1,28784e-11
0000000001;00:00:01;0000001001;  20,8;  4,98799e-12
0000000001;00:00:01;0000001001;  20,9;  2,43917e-11
0000000001;00:00:01;0000001001;  21,0; -4,43974e-12
0000000001;00:00:01;0000001001;  21,1; -2,06292e-11
0000000001;00:00:01;0000001001;  21,2;  1,05349e-12
